-,-,-
938, -125, 330
957, -123, 337
957, -123, 337
979, -134, 330
1018, -145, 299
1060, -140, 307
1102, -125, 335
1135, -95, 358
1283, -101, 430
1363, -155, 367
1355, -133, 274
1291, -90, 261
1179, -46, 328
1179, -46, 328
1084, -44, 394
1011, -83, 371
935, -91, 314
905, -79, 307
905, -85, 297
894, -87, 301
894, -87, 301
874, -95, 304
868, -127, 301
838, -136, 280
812, -146, 263
814, -176, 241
820, -205, 232
820, -205, 232
821, -218, 218
823, -252, 170
830, -269, 150
837, -269, 141
848, -271, 140
868, -262, 116
888, -256, 106
888, -256, 106
910, -248, 107
920, -229, 95
920, -203, 98
923, -182, 124
935, -171, 121
937, -158, 116
922, -144, 118
922, -144, 118
924, -133, 108
925, -112, 109
936, -83, 109
943, -56, 98
958, -32, 99
958, -32, 99
975, 5, 69
979, 57, 75
975, 110, 87
975, 110, 87
962, 142, 89
936, 164, 97
885, 181, 121
885, 181, 121
831, 170, 116
776, 156, 106
750, 123, 106
739, 72, 80
739, 72, 67
713, 33, 67
685, 11, 80
674, 24, 140
674, 24, 140
727, 41, 196
789, 41, 236
854, 20, 237
854, 20, 237
906, 43, 219
953, 52, 301
1015, 55, 339
1041, 57, 368
1041, 57, 368
1047, 78, 348
1063, 64, 383
1097, 44, 338
1052, 49, 298
993, 89, 357
993, 89, 357
1000, 94, 382
1039, 5, 356
1563, 133, 729
1863, -596, 493
500, 249, -176
500, 249, -176
407, 121, 210
1529, -239, 265
1046, -79, 139
-,-,-
943, -113, 320
949, -89, 353
954, -94, 326
954, -94, 326
975, -113, 292
979, -115, 286
1013, -119, 264
1086, -114, 260
1175, -115, 288
1254, -91, 324
1334, -88, 292
1344, -99, 310
1344, -99, 310
1315, -109, 329
1245, -82, 350
1175, -80, 345
1128, -96, 336
1067, -75, 304
1003, -64, 275
964, -87, 281
964, -87, 281
940, -113, 281
889, -80, 248
853, -64, 223
821, -76, 241
776, -64, 239
776, -64, 239
735, -65, 232
732, -92, 229
721, -100, 207
732, -115, 163
763, -144, 99
786, -164, 102
786, -164, 102
821, -206, 113
843, -228, 116
866, -242, 115
876, -263, 112
895, -293, 123
924, -308, 120
949, -307, 116
949, -307, 116
954, -293, 113
965, -283, 101
959, -258, 101
956, -222, 112
952, -186, 137
945, -156, 165
957, -112, 171
973, -66, 183
973, -66, 183
1001, -28, 166
1009, 7, 158
1016, 42, 157
1020, 86, 155
1020, 86, 155
1020, 128, 153
1017, 148, 145
997, 163, 155
975, 165, 180
953, 158, 168
920, 132, 164
920, 132, 164
889, 104, 161
872, 70, 152
858, 32, 148
841, -5, 131
841, -5, 131
807, -31, 138
771, -46, 139
745, -65, 157
733, -72, 184
733, -72, 184
739, -71, 201
735, -49, 211
739, -13, 229
825, -14, 290
910, 1, 282
910, 1, 282
983, 7, 286
1044, 7, 329
1044, 7, 329
1145, -11, 366
1192, 11, 337
1185, 4, 339
1119, 15, 355
1056, -6, 365
1056, -6, 365
1293, 46, 503
1918, -721, 566
532, 308, -124
521, 59, 375
1359, -210, 252
882, -84, 270
-,-,-
970, -101, 277
970, -101, 277
985, -118, 251
985, -126, 263
1016, -126, 260
1082, -123, 210
1159, -133, 194
1231, -126, 245
1365, -122, 288
1441, -115, 310
1432, -108, 275
1372, -96, 290
1372, -96, 290
1290, -67, 341
1218, -62, 349
1127, -55, 340
1032, -35, 294
972, -53, 257
929, -69, 238
889, -90, 200
889, -90, 200
812, -80, 147
732, -64, 119
667, -53, 105
650, -64, 102
650, -64, 102
637, -88, 104
652, -99, 65
703, -123, -1
787, -178, -27
843, -215, -50
843, -215, -50
884, -246, -39
916, -264, -27
939, -268, -28
949, -257, -17
963, -241, -2
964, -222, 14
971, -185, 37
971, -185, 37
992, -166, 38
993, -139, 22
992, -103, 14
971, -60, 49
971, -60, 49
972, -34, 71
964, 8, 68
974, 66, 46
974, 66, 46
978, 100, 57
974, 132, 92
990, 157, 92
990, 157, 92
994, 187, 88
993, 190, 94
959, 180, 84
959, 180, 84
963, 156, 68
960, 113, 44
952, 69, 10
952, 69, 10
948, 26, -6
919, 6, -7
888, -16, 9
888, -16, 9
841, -35, 27
785, -41, 37
752, -26, 61
752, -26, 61
766, -24, 111
796, -34, 118
810, -48, 112
788, -36, 102
788, -36, 102
782, 8, 107
804, 16, 139
821, 22, 163
821, 22, 163
853, 23, 202
938, 51, 166
1007, 42, 158
1067, 15, 146
1067, 15, 146
1155, 24, 188
1234, -8, 163
1253, 12, 122
1139, 32, 172
1068, 13, 230
1068, 13, 230
1346, 87, 431
1898, -628, 567
496, 347, -135
351, 98, 354
1446, -83, 241
1446, -83, 241
-,-,-
973, -97, 300
943, -75, 259
967, -89, 287
974, -98, 272
974, -98, 272
982, -106, 263
1014, -113, 255
1070, -116, 248
1153, -122, 260
1276, -149, 294
1418, -177, 218
1438, -174, 223
1396, -127, 265
1307, -99, 326
1229, -97, 373
1229, -97, 373
1175, -96, 367
1144, -73, 310
1081, -60, 278
1005, -42, 256
942, -31, 244
883, -38, 228
883, -38, 228
791, -29, 200
710, -25, 161
660, -45, 151
621, -50, 163
638, -60, 153
638, -60, 153
698, -88, 116
759, -115, 113
807, -158, 88
820, -190, 80
839, -216, 77
839, -216, 77
868, -244, 56
898, -247, 46
925, -225, 32
947, -210, 40
948, -184, 63
948, -184, 63
954, -147, 78
973, -106, 66
992, -73, 57
996, -50, 68
996, -50, 68
981, -19, 70
989, 16, 64
1001, 44, 57
1001, 44, 57
998, 63, 87
992, 93, 89
981, 119, 78
981, 119, 78
1000, 126, 56
1000, 134, 53
1006, 144, 50
1004, 136, 60
1004, 136, 60
1012, 118, 59
1002, 100, 63
986, 72, 54
957, 48, 52
957, 48, 52
923, 23, 45
887, 3, 43
887, 3, 43
867, -13, 41
836, -29, 58
804, -36, 62
804, -36, 62
763, -35, 98
754, -36, 118
777, -45, 129
792, -37, 138
792, -37, 138
820, -30, 149
856, -20, 158
888, -1, 146
893, 19, 131
893, 19, 131
887, 47, 138
952, 43, 183
1012, 31, 163
1032, 22, 166
1032, 22, 166
1087, 34, 216
1198, -6, 220
1208, -5, 156
1112, -19, 141
1014, -32, 206
1014, -32, 206
952, -68, 227
1215, 0, 370
1887, -724, 546
381, 382, -55
463, 116, 413
1471, -131, 304
1471, -131, 304
779, 6, 250
-,-,-
1015, -95, 204
1078, -110, 221
1183, -147, 174
1267, -152, 166
1342, -156, 167
1354, -145, 256
1354, -145, 256
1357, -133, 322
1315, -115, 307
1222, -99, 296
1107, -72, 268
998, -49, 269
917, -37, 280
869, -44, 231
820, -53, 205
820, -53, 205
789, -40, 179
768, -43, 179
758, -45, 155
748, -46, 148
748, -46, 148
742, -45, 153
769, -55, 163
821, -67, 148
868, -78, 123
904, -84, 103
904, -84, 103
931, -96, 108
955, -110, 100
971, -132, 97
972, -151, 105
978, -169, 111
989, -200, 107
989, -200, 107
996, -215, 98
1002, -222, 86
992, -223, 101
986, -212, 94
970, -182, 97
971, -155, 98
971, -155, 98
983, -137, 95
980, -106, 101
992, -66, 90
991, -27, 88
991, -27, 88
976, 20, 84
969, 62, 86
965, 96, 90
965, 96, 90
960, 128, 100
966, 146, 86
957, 150, 103
957, 150, 103
958, 140, 122
959, 129, 121
965, 115, 116
982, 106, 106
992, 94, 101
992, 94, 101
993, 78, 107
984, 58, 114
963, 45, 100
963, 45, 100
928, 30, 106
905, 6, 90
875, -15, 94
875, -15, 94
844, -27, 96
808, -40, 107
752, -32, 138
730, -39, 149
730, -39, 149
707, -48, 159
683, -19, 174
735, -10, 159
761, -2, 141
783, 19, 134
783, 19, 134
886, 6, 203
1010, -18, 227
1099, -5, 256
1099, -5, 256
-,-,-
1007, -115, 272
1015, -94, 290
1097, -118, 258
1193, -147, 279
1288, -140, 251
1288, -140, 301
1347, -125, 301
1352, -107, 374
1331, -91, 424
1285, -79, 391
1212, -61, 351
1122, -53, 345
1031, -47, 347
929, -37, 333
844, -31, 294
844, -31, 294
763, -28, 283
715, -28, 254
696, -32, 234
689, -39, 234
689, -39, 234
718, -54, 210
760, -64, 179
799, -82, 146
831, -101, 146
861, -120, 134
885, -141, 121
885, -141, 121
892, -151, 119
901, -175, 108
929, -210, 102
952, -240, 91
966, -243, 83
969, -253, 90
969, -253, 90
965, -250, 98
977, -246, 90
986, -246, 85
995, -219, 90
1000, -201, 103
1000, -201, 103
998, -186, 111
989, -152, 99
970, -116, 97
954, -88, 99
930, -50, 87
930, -50, 87
922, -7, 70
927, 42, 39
